EQ,PE,RE,IG CB,HY CB,GB,MONEY
1153696.4626432161,1105254.6008595363,1057756.2423783084,1039088.5015409148,1049339.7173613175,1020756.0622502585,996429.0517910906
1160511.5456548615,1115408.2331946369,1066919.390838152,1040276.2207882324,1048560.1691764394,1022171.9653015404,996428.968754497
1155672.2386567246,1113818.8173676762,1071831.4090541531,1039283.7982876133,1048988.8650632806,1022746.4456384061,996449.2854553787
1146728.0763246117,1111184.5393735417,1055929.5679510687,1036494.7029854492,1048938.2338765587,1017096.2050893146,996449.3961730988
1147339.0870748793,1116339.556441586,1054890.1430126228,1040233.3364990825,1049420.3318620825,1015981.7420339419,996429.1901871248
1152278.5380974482,1121839.8759846275,1058648.666614847,1042757.804177916,1053031.015249334,1018938.3727133406,996429.2455448678
1151671.8615170273,1118263.8079516257,1048417.8367280961,1044461.2641238616,1053929.060337788,1017921.3270066172,996429.2178659952
1153234.2283108844,1133885.429151987,1053032.648544944,1047581.5915194588,1055068.2256126879,1022877.9533942429,996449.6452914017
1172860.1704018505,1148872.8687808684,1051484.1216131067,1048042.0598664639,1057627.8863031282,1019873.9180166598,996449.6452914022
1168845.4865793479,1160141.1446388462,1068746.053033085,1053407.13148255,1060878.0356222142,1024077.588920903,996449.5622530876
1158584.2014402996,1148586.3579898067,1048314.7516530795,1051460.5990356838,1058330.9184524051,1019926.799547957,996449.5899325244
1158035.6451954406,1151034.291800234,1039630.7176022695,1051110.8491136786,1058386.2031431068,1021495.9603222664,996449.5068942104
1162077.6693854895,1154820.508749162,1031431.673223233,1048992.3186973378,1059146.9950298977,1021829.3939281664,996448.3443353955
1152856.4896120315,1134324.740036192,1029859.2047088915,1052581.8048329107,1060974.9296811665,1022741.4674325524,996448.3166559988
1148532.4562003568,1138949.286344666,1038328.3091247135,1049873.4772572662,1061274.1404943082,1020859.9815393267,996448.233617812
1144767.8763117834,1131853.940994288,1034805.832549981,1051260.8297773737,1062596.3083964433,1023268.6924272834,996448.3443353886
1132668.6522537998,1116159.9338588575,1025265.96547399,1052334.1542747046,1060776.2862127142,1023103.374828004,996448.510415137
1112495.797412806,1105040.907974812,1030337.4740872296,1055695.795795761,1060799.429321745,1026877.351752475,996448.5104151372
