Realized_Delta_BOF,SCR_Values
42462.730958452565,-123681.63965943195
40481.948396864,-126440.74439738553
42362.012084191316,-121005.62399342157
36431.1013090068,-122755.72319222853
39040.14490874775,-125608.13650413616
40691.36503973184,-123476.3228397398
39040.87873905385,-124145.02456991897
39837.68385718088,-114974.42002908522
36883.5281522288,-123625.4971785852
37341.42747365078,-117711.73951598073
35872.75307736627,-122585.60639094812
33483.77961410547,-124794.69341991686
32652.419054597965,-118472.62032353776
31258.96514351177,-127369.07006153511
31467.928297008853,-122075.31799388128
27372.75429331395,-122699.29917534674
28195.270439603948,-119003.34180891041
26062.381331495475,-122719.13647221948
30902.17371515627,-121886.63848791266
36130.62438595691,-128172.22392848876
37776.78786081425,-130598.02141449788
51698.962855102145,-124092.87474375128
48819.44804511918,-122443.23496280241
44709.64170798147,-122156.78070888371
52944.11926107912,-126300.00923589418
43180.54269605293,-122480.7568330636
44450.28072043648,-124914.69921455647
49375.67763866414,-122432.81053110833
76776.25331045152,-133389.8234537145
77900.7890527451,-127820.08436911897
90367.37716978928,-125363.88751512635
133125.34233262797,-136255.7552314885
131920.06626428338,-138371.56874862988
170179.15043233056,-136641.67899486257
173991.32044069876,-133680.92636049405
206057.84188749106,-142969.78435176643
196361.04801816144,-145439.726807569
188154.19234412222,-139918.09017001538
203735.35767552909,-146596.5776005879
178230.97795942752,-139052.4924734984
170441.7866244656,-145071.22529530345
150550.55565345054,-138339.94040076731
154981.13786818914,-140569.8071930043
149242.64704307192,-144820.0800454564
148007.7633135931,-137382.36255399502
158700.35977998096,-141847.14764909665
156225.60202826,-144038.9043169584
165634.94541604316,-143561.13598573208
151843.53396234429,-141225.90961832704
150530.40421557042,-145091.4488968305
145199.11072291026,-146947.73862275478
132023.43216888397,-143968.76130251287
124692.65003410971,-147877.74187687773
131066.2927926596,-142481.55240369804
127516.86414236762,-149266.44464229827
125148.48984305572,-146591.10015613795
130420.28933654865,-139542.99437746787
138673.9746595138,-139677.35139077707
134166.43151631893,-141130.6674501369
130315.60553665587,-147354.90239774238
127661.15952360316,-144501.63687428262
122915.51547580957,-146364.68595898343
120784.89974353602,-142075.31232166736
112406.14781779365,-143721.392372806
112672.38023228012,-144046.1884030638
122372.87500609679,-143345.38578433954
116363.5411065754,-143322.12438122096
122662.7865778259,-142026.47911129153
115828.10840357176,-145226.4117934311
114072.71617998695,-143046.14380917855
116409.76636089245,-142847.35596777836
120588.64465272299,-139947.40681201383
123227.68738594535,-140011.04369551502
117867.95064494829,-148097.90420961104
112862.89675614354,-145062.77299791356
105112.75576736266,-143076.31396476942
108391.96230354451,-141978.36856254053
103301.31683375139,-143446.36524427225
102333.04024015635,-141887.03344260532
97771.34199377242,-147083.3285163046
99566.78814172081,-141419.50322324433
98166.60445437848,-136917.74326048957
96127.53455365985,-138467.4193233769
95506.6135928121,-142493.2723838167
98664.10351563548,-144379.9982459773
96829.14814402442,-145255.69884264888
93786.77402236918,-142587.72404392002
88845.88555533334,-141351.6205548384
92749.86722136161,-139434.08866831334
85810.58713313204,-141618.2998497452
80984.20058773749,-139968.4412626972
88961.56993780634,-139365.6968077713
90188.2062616736,-141118.71249143357
104815.15794796031,-134470.8175344809
101684.09936781076,-136510.70629336906
102197.96383949381,-141424.08504245267
95867.86087356484,-143723.17436851352
94531.31452664884,-136880.8026054172
92499.20137895644,-143481.23812151176
91863.35061195912,-142934.47264320072
93876.17125510157,-140050.12706672327
93877.23984106083,-142589.50566770323
99814.38719357969,-136215.32286162692
98780.01403594145,-136062.89371397038
100262.13818056416,-136844.9084545214
102015.67173369764,-142990.75575601138
96608.12303718494,-139980.41574556558
98669.90349510661,-142386.7681276547
92834.82455845166,-134585.3653848324
95126.42916455213,-141941.1268658849
91917.54941876454,-139520.31220796544
97984.76154061593,-142709.80577414786
97309.98055930529,-142278.6582327592
100667.87318291108,-145188.13777935755
101710.36642795708,-140577.66711758045
101186.20804790943,-139120.39432657318
100829.85534378688,-137928.78617530045
100816.57591149933,-135954.5606592444
100640.57641157636,-132830.1417197969
100970.00980413926,-136573.49583622438
96053.92709443823,-136732.46700457882
94383.74209626962,-142857.70716749286
90811.19469159667,-145401.47414873508
96364.35285592638,-142727.31566226736
102102.85627144948,-143833.7321122163
105775.83405554609,-147343.33303339567
106449.27002900129,-138220.93576702275
104002.8858182457,-140610.12604501017
105007.65972172539,-138523.0470101688
105811.92542949959,-136605.90695548846
102994.20639661548,-139234.01408056292
98794.64939478447,-141304.1410141202
101842.16047444078,-138041.01507872005
101104.07703338005,-137449.57817316495
101050.60691785126,-143527.2389939888
102075.02856601018,-139540.8066277474
