realized_delta_bof_values_1,scr_values
-94040.71041593316,-163063.7516145221
-93036.39421118854,-162543.04763364265
-91200.89663479535,-168113.43841861395
-86265.22710238572,-160354.84633858534
-86586.69814228278,-164622.5221274513
-85428.78133489285,-159825.65420552096
-82553.90649758978,-167788.52028226497
-81830.34822200215,-159820.9178669546
-84314.69528724335,-157323.84313923097
-84553.44767182297,-160858.386030337
-84778.33322334872,-165207.6618930181
-90722.699486856,-161374.0962510645
-90542.94316405396,-159183.31158798136
-93062.81078370684,-157228.01027965618
-86748.67570491636,-159824.94948878672
-90143.26300068236,-163397.63994986983
-85945.47330943856,-155253.9543953808
-82306.94455116137,-163616.39635606963
-86738.83797022945,-160425.8856887725
-94474.438856457,-161546.6111166587
-91967.5971949302,-162633.14539117832
-94095.38177474332,-164524.2831202173
-94676.87626861793,-155914.680665792
-91365.18841874412,-163307.514394154
-100418.15403281932,-163155.527920243
-104949.14449863462,-159665.7278064142
-105767.45618323982,-164891.77532382912
-108972.99518925068,-159095.80682569652
-116093.24262529577,-161725.8938286654
-115092.9534581406,-158752.82774764442
-113544.97212280416,-163047.56948338173
-115375.81739144029,-161922.31723465474
-113153.30411545234,-161621.84964491645
-113737.16009855806,-159638.7870862028
-112306.23817888716,-160606.87325331237
-105425.47166747774,-163863.99754331927
-114038.42022008542,-158952.33208831522
-116550.2816279264,-164103.12569288598
-117390.29840819538,-162997.85864262775
-122597.67389937583,-168212.35827391245
-122675.64215944464,-160440.67570561587
-130225.73438737496,-163360.13782002238
-129008.12373106182,-160340.8186332057
-134260.09258229088,-165012.42845206434
-137405.99997593963,-157164.34498088888
-146058.05466198723,-164066.47372366986
-155057.2293571547,-163164.47952480745
-147500.84088229178,-165105.8131617181
-154186.29888821708,-158729.55317407227
-151215.26680289267,-157399.07285025416
-133971.28614378767,-160181.42300572168
-129110.99745806598,-161055.44508837754
-133917.82318820618,-158403.61227403305
-138916.37570047658,-161718.34137110866
-144433.05925901537,-161954.1692631753
-148204.81640312786,-153855.3112561323
-150732.98654476844,-165215.21936195917
-156707.4099042639,-161826.14703575996
-152051.13202750825,-158337.8307731882
-153123.61245086475,-158653.84568274813
-146174.09793877718,-157289.63984193993
-146654.0720438559,-157815.92352521277
-156606.53502571664,-156911.2142572347
-159651.6446838784,-162078.86276769327
-159066.1890416582,-157695.10007661377
-154396.97243947047,-158528.92106358308
-144271.66611003457,-155796.4790292261
-143446.93256012653,-161889.69082437854
-138095.56650267844,-159577.91780341792
-139158.66780847777,-156696.18208973182
-142696.9530340149,-161624.7152182737
-142121.17710472003,-160664.30229401894
-144916.01772849134,-158980.1855924701
-148594.7404340353,-153797.97564139048
-147752.3293783433,-157258.77594989506
