realized_delta_bof_values_1,scr_values
67608.76251102483,-142534.26296025337
70628.69017874158,-142136.42727606327
75080.67057830922,-142609.81465205443
84065.7976592494,-141205.91830821297
86081.59911590687,-136800.49052074316
84252.87180152396,-147624.47011940458
87453.55931554188,-141874.11390060832
88129.24806262844,-144342.92570656093
96732.5332661766,-142745.25574308244
94189.79092672036,-142109.16604241816
98011.68527582916,-143808.7805023106
95509.20463375223,-144472.78792575287
94465.18924200418,-141860.5223860717
83388.19316130783,-138461.9825747258
77153.98557665164,-139956.7730856217
78383.18427748838,-138310.9366930016
78775.64830566396,-137974.81808373603
78945.96235956566,-137386.79364773372
79543.44132806931,-135075.3054633942
84335.90653137176,-132439.3605403844
80590.882471891,-134897.42582877274
78663.52250505704,-140638.90696935123
73791.92247596313,-135884.1377835697
74089.92933010019,-134604.5902298341
75175.8802350302,-140912.7808129929
75244.94923461578,-139955.1846711714
76299.95880664629,-138494.37124307864
73175.66143475473,-136115.8496190422
74853.26443684741,-132101.97765161583
77284.42695963162,-144424.4946933347
74011.43589707231,-145126.3865522048
70155.32643547258,-138101.15967164288
73049.54094050417,-163371.00820108756
75531.6644556839,-161249.31418635603
68200.34001552407,-167329.87457862633
68888.74896332226,-166663.94511049843
65745.92743253068,-161535.8914275811
61260.16479234106,-164829.5744105166
65523.16022072954,-169588.5483255602
66067.0444480083,-166807.7476020575
68004.27589465945,-163315.37688285075
73851.02128940576,-171576.3639242837
73162.66872466356,-164265.7777251234
72956.32543224155,-170419.2653174139
68280.88615008595,-166359.89604190935
72922.79278242658,-163565.98823784475
73361.29128768574,-169209.63720213142
71833.20853302779,-168190.01219572691
66722.21374155651,-170340.1989283865
66581.87693869614,-177467.3292362459
65910.84698771173,-171977.28381713526
64002.88585766708,-174007.03792093846
66361.63345741178,-174628.39672917727
61578.68101327261,-176140.4793367609
64286.62068872969,-171188.8747371289
63473.50162173656,-173707.22330966554
60993.42291144084,-169562.98555655946
56156.19222408894,-172332.2965383691
50449.840628862265,-173461.3446311778
50891.96795482677,-170069.4822355798
54308.04787335941,-172604.6934156266
52111.719813705306,-173735.32296247705
49464.50230443105,-169245.5336337559
48142.94472969568,-177391.340897347
48039.2934479214,-172028.21403480956
42045.61293191789,-173205.83999733493
38279.28652686591,-172615.20377736416
42239.53240204998,-172480.84400922243
39906.02990782692,-177145.69588167197
