Window,SCR_Values
393,-168912.3019488520
394,-168830.0715465240
395,-168850.21404756500
396,-169033.5391932580
397,-168953.59877670500
398,-168911.75664309000
399,-167797.42224480500
400,-167856.54291716500
401,-167885.8621269820
402,-167808.8411530460
403,-167658.80654994800
404,-167696.27292815900
405,-167621.98766054400
406,-167611.32476106200
407,-167551.4193352850
408,-167741.45401479000
409,-167727.68660249100
410,-169231.39941880300
411,-168045.76688222100
412,-168007.63945268000
413,-169035.58781702500
414,-169037.71834757700
415,-168948.39222570000
416,-168901.9123624390
417,-168842.49250007500
418,-169016.43551068100
419,-168937.70981515700
420,-169039.02394630600
421,-168979.61753375800
422,-169024.25384487100
423,-168935.34407230600
424,-168758.82026157200
425,-168993.4001380220
426,-169411.78323214500
427,-168073.03111949600
428,-169637.0099633860
429,-169846.26394095700
430,-169483.5789193420
431,-169422.4727746350
432,-169296.86073242900
433,-167675.94740725400
434,-169187.89512914300
435,-169417.79254065600
436,-169394.3108859600
437,-169564.0717131020
438,-169815.00184069100
439,-169739.54884062300
440,-169601.32542797000
441,-169660.2758376320
442,-169640.99976010100
443,-169301.38658182100
444,-169328.47311669700
445,-169257.9983759540
446,-169598.14466228100
447,-169554.25096943800
448,-169408.77699422000
449,-169345.6235798470
450,-169277.8797726460
451,-168753.34285378500
452,-168775.57880498300
453,-167062.65346492600
454,-167079.97219771000
455,-167232.4782691890
456,-168479.241246581
457,-166615.346444187
458,-166666.62789727300
459,-166598.57835447200
460,-166663.35500216200
461,-166645.57676600100
462,-167063.91496787600
463,-166966.5022341390
464,-167104.15667669100
465,-167512.29131669200
466,-167434.47298513600
467,-167340.34123743000
468,-167232.87777604600
469,-167318.99058378500
470,-166561.044946052
471,-166562.68491250800
472,-167192.79955954800
473,-166650.48122257100
474,-166621.26558472600
475,-166522.50280555300
476,-165294.51711947700
477,-165308.33613276800
478,-165217.19114352100
479,-165203.72371220600
480,-165186.7381110440
481,-165115.50455223200
482,-165122.7089158570
483,-164072.42237957700
484,-164053.43404896600
485,-165162.79889973700
486,-165673.52005574300
487,-165674.83072574200
488,-165580.5884465890
489,-165582.78998247700
490,-165486.78708292200
491,-165413.75721546900
492,-164514.53059651400
493,-163957.43527904100
494,-163913.8300282660
495,-165012.04423255000
496,-165001.3404691010
497,-165001.2368035860
498,-164974.97605052400
499,-165060.487085456
500,-165062.7956168630
501,-165014.6381354440
502,-164620.1309359420
503,-164574.2093127680
504,-164501.6558479000
505,-164440.19269682600
506,-165401.55630044900
507,-165342.6524254800
508,-165210.97461879400
509,-165248.94044647400
510,-164333.86510234600
511,-164370.71700966000
512,-164350.5553897800
513,-163821.94067198300
514,-164528.55601523400
515,-165034.1034293610
516,-165238.0947582850
517,-165299.31409430700
518,-165098.88006659900
519,-165062.46300213200
520,-165010.83450048200
521,-165178.84513289100
522,-165230.82647015900
523,-165424.21739826000
524,-165511.86473769700
525,-165259.53140893800
526,-165607.4191247790
527,-165888.36320680900
528,-165487.688805269
529,-165423.1536455230
530,-167822.49581023900
531,-167764.7052119030
532,-167764.28763527700
533,-167682.8096992270
534,-165468.13267515000
535,-165697.02823041000
536,-165653.63736238200
537,-165763.0895739210
538,-167749.54179378200
539,-167883.0676605470
540,-168542.0628838160
541,-168718.69140085200
542,-168837.50826565200
543,-169530.95561759100
544,-169639.62803243300
545,-169671.90927253700
546,-168783.97765127400
547,-168759.04031648700
548,-168369.97180590600
549,-168597.93310295200
550,-168853.06619094300
551,-169043.5501251330
552,-169020.05245445200
553,-168375.5818272390
554,-168263.98599170300
555,-168205.1258922490
556,-168103.1773250930
557,-168304.0609457130
558,-168342.78683107600
559,-169578.54580101700
560,-169316.66333438500
561,-169498.12414491000
562,-169911.58925267100
563,-170008.48768330800
564,-169942.6256331920
565,-169301.2804313530
566,-169228.5451770290
567,-169182.4696377300
568,-169275.0516220990
569,-169313.17813329600
570,-169274.62920270200
571,-169117.22735249900
572,-169054.66977531500
573,-165766.49359203700
574,-168237.7408913130
575,-168295.56467065300
576,-168336.2849338720
577,-168301.0637165140
578,-168927.15106739300
579,-168812.92603946700
580,-168847.19877330300
581,-168940.02461728000
582,-168988.15027701100
583,-168927.52474011600
584,-168902.35078722600
585,-168908.0398773070
586,-168887.44089578700
587,-169761.9502966910
588,-169019.07649472100
589,-169103.16071683800
590,-169130.291986106
591,-169077.3512059150
592,-169831.90889818800
593,-168727.7316449380
594,-168708.77697597500
595,-168726.07985360900
596,-168748.87770999400
597,-169075.1739826400
