Realized_Delta_BOF,SCR_Values
35872.75307736630,-154644.43273437300
33483.77961410550,-154548.81757000100
32652.419054598000,-154459.52723935800
31258.96514351180,-154435.69291008700
31467.928297008900,-154432.27518930300
27372.75429331400,-154331.66992977200
28195.270439603900,-154317.91139416100
26062.381331495500,-154366.80085018600
30902.17371515630,-155151.6671421230
36130.62438595690,-155370.60590181000
37776.78786081430,-155503.61191127500
51698.962855102100,-157171.46574023600
48819.44804511920,-157276.30533420000
44709.64170798150,-157222.32926781200
52944.11926107910,-156875.59564133600
43180.54269605290,-156733.04368852300
44450.28072043650,-157001.77230641200
49375.67763866410,-154724.52451519200
76776.25331045150,-155836.41085357000
77900.7890527451,-157307.4078816120
90367.37716978930,-158117.82383098200
133125.34233262800,-164526.40343373900
131920.06626428300,-163477.06914791000
170179.15043233100,-167420.32179539800
173991.32044069900,-167787.06719453800
206057.84188749100,-166925.080821659
196361.04801816100,-165979.45890427400
188154.19234412200,-168313.83396132000
203735.35767552900,-168542.08785490700
178230.97795942800,-169199.704047056
170441.7866244660,-169158.6199526480
150550.55565345100,-169897.62749892600
154981.13786818900,-165295.60631192200
149242.64704307200,-164964.67197907300
148007.7633135930,-164975.87772711000
158700.35977998100,-165800.51877652100
156225.60202826,-165744.53875891700
165634.94541604300,-165934.77773414100
151843.53396234400,-168974.29192080500
150530.40421557000,-169011.2493045330
145199.11072291000,-168791.7654291170
132023.43216888400,-169590.7958402890
124692.65003411000,-169383.7017235190
131066.2927926600,-169432.15784373100
127516.86414236800,-169365.77485886400
125148.48984305600,-169263.18103518400
130420.28933654900,-169473.5578304190
138673.9746595140,-170466.1773150200
134166.43151631900,-170664.14557021700
130315.60553665600,-170599.83585858400
127661.15952360300,-170468.9873193450
122915.51547581000,-170034.4981104390
120784.89974353600,-169915.83118224400
112406.14781779400,-169800.13610090900
112672.38023228000,-169623.83322694800
122372.87500609700,-169990.526332266
116363.5411065750,-169899.26950955400
122662.7865778260,-170333.56400444300
115828.10840357200,-170187.73456766900
114072.71617998700,-170152.9903198920
116409.76636089200,-170281.29374581600
120588.64465272300,-170483.25817018500
123227.68738594500,-170508.10953806900
117867.95064494800,-170627.2313248990
112862.89675614400,-170631.8613106800
105112.75576736300,-170485.4762833030
108391.96230354500,-170471.98163064200
103301.31683375100,-170276.87641537900
102333.04024015600,-170328.8765467570
97771.34199377240,-170248.33135340400
99566.78814172080,-170160.83178701500
98166.60445437850,-169521.46465048900
96127.53455365990,-169370.75563850200
95506.6135928121,-169298.1702585160
98664.10351563550,-169251.55466094600
96829.14814402440,-169235.56934937700
93786.77402236920,-169124.7433457500
88845.88555533330,-169055.91151585700
92749.86722136160,-169289.53724021500
85810.58713313200,-169181.59716452400
80984.20058773750,-168666.61637356900
88961.56993780630,-169270.11033170400
90188.2062616736,-169337.03279449600
104815.15794796000,-165924.82126179900
101684.09936781100,-165859.9851289390
102197.96383949400,-165853.85613747400
95867.86087356480,-165717.496172296
94531.31452664880,-164710.18226211500
92499.20137895640,-164689.9206931270
91863.35061195910,-165618.9836868510
93876.17125510160,-165534.4922472440
93877.23984106080,-165261.17324022200
99814.38719357970,-165444.0806659690
98780.01403594150,-165388.42137162400
100262.13818056400,-165488.12585498200
102015.67173369800,-165491.1063554060
96608.12303718490,-165427.89458014300
98669.90349510660,-164273.665976263
92834.82455845170,-165466.85135469400
95126.42916455210,-165492.22026152200
91917.54941876450,-163997.33731261500
97984.76154061590,-164067.1924040130
97309.98055930530,-164055.55780386600
100667.87318291100,-164045.57546297000
101710.36642795700,-163995.80619550500
101186.20804790900,-163808.12635611600
100829.85534378700,-163925.19289417700
100816.57591149900,-163858.212134333
100640.57641157600,-163854.1827108190
100970.00980413900,-163890.3822064890
96053.92709443820,-163782.2410355150
94383.74209626960,-164684.47395780400
90811.19469159670,-164596.8319799710
96364.35285592640,-164615.74810874600
102102.85627144900,-164802.65819785300
105775.83405554600,-164789.56070818500
106449.27002900100,-164751.50093960100
104002.8858182460,-163282.1439091870
105007.65972172500,-163347.5219972410
105811.92542950000,-163374.10882253300
102994.20639661500,-163291.48458521000
98794.64939478450,-163174.14119971500
101842.16047444100,-163262.44466106000
101104.07703338000,-163203.39595741
101050.60691785100,-163205.92223022900
102075.02856601000,-163152.25713404000
102864.4202450350,-163304.28372502500
100916.64968503500,-163095.67822996300
104958.97074173000,-163519.46911721500
106194.42446288900,-163368.10256711900
105704.87124036100,-163291.1269354310
108361.09604052400,-163173.4432633210
109166.17817279900,-164463.6081753820
104575.84612526700,-164359.71657137700
102476.4826920350,-164331.00215056000
99646.72031988790,-164294.41113487200
104899.65427374000,-164548.3387391580
102047.4516551250,-164508.07651235700
103694.39586545000,-164628.52066736800
100928.61604766900,-163169.83097864500
101109.90741230100,-163224.02376271300
101618.85243102000,-163136.5497191490
94759.02587275080,-162963.71877157300
96419.48255616620,-163084.9900015220
103374.20889662900,-163419.72756248900
101088.98802224600,-163398.6734897750
103624.58283571500,-164261.6005017620
102265.0018817350,-164325.24341910500
96515.71264529430,-164095.6547405640
93351.85229000860,-164052.20595088900
94186.32306340790,-164119.34387725500
91573.62445534780,-163411.56765821300
97204.82069644440,-163634.08433914300
100649.96110968200,-163594.7985800640
97809.41206167270,-163562.8898925560
102464.60979939200,-163816.09758026400
100469.64997877600,-163766.00671727500
94723.49031962800,-163708.18858344900
91252.22023390460,-163582.80592082300
95085.77623649690,-163655.63217664200
93875.00360180020,-163666.79548499600
88945.43669321250,-163198.0885259260
89496.6561155488,-163238.20514294800
79065.20667461290,-163186.19053799200
80267.22144734710,-163588.25845703000
76623.09952391500,-163139.3653780270
76020.4689134442,-163047.43888520400
70677.43956851510,-162960.3476795440
67601.38907782610,-162829.23505183700
66193.45757147690,-163116.47590375500
69625.86607340970,-163134.3334745760
68338.10361317530,-162524.82601786200
67608.76251102480,-162566.2387432350
70628.69017874160,-162761.45781608200
75080.67057830920,-162860.79667358300
84065.7976592494,-162859.12114277700
86081.59911590690,-162939.88983879300
84252.87180152400,-162678.4251456930
87453.55931554190,-162800.510584636
88129.24806262840,-162744.69169512100
96732.53326617660,-163291.45400761000
94189.79092672040,-163213.12632349200
98011.68527582920,-163322.6332967200
95509.20463375220,-163218.14266108500
94465.18924200420,-163119.58996836000
83388.19316130780,-162842.31561362400
77153.98557665160,-162783.07843201800
78383.18427748840,-162880.61543971000
78775.64830566400,-162485.679164735
78945.96235956570,-162466.30302433400
79543.44132806930,-162882.6767466150
84335.90653137180,-162677.74411524600
80590.882471891,-162680.02239697100
78663.52250505700,-162643.05114565100
73791.92247596310,-162387.95534851500
74089.92933010020,-162397.8622546930
75175.8802350302,-162350.05407115800
75244.94923461580,-162319.1335855960
76299.95880664630,-162324.991080428
