Realized_Delta_BOF,SCR_Values
54540.964922504965,-129042.06464318486
57907.22004924889,-134440.783315851
55727.25646229717,-130465.23187075059
53307.742334524635,-132019.3355818191
53475.40482888266,-133180.81832276002
53068.97589918994,-135323.47502188222
53857.4183136659,-129916.28431805992
55416.13192812819,-127965.66075193952
60350.889867480146,-136005.10469100243
56971.130451406934,-129106.3331840268
56140.29176862759,-128401.87321910144
58682.69445363013,-126861.24267186526
56826.8556189806,-129306.52755997163
57475.93006293033,-130885.91958964523
59714.51523525128,-141942.17701510558
56423.70722756197,-126012.78550072288
59089.02839536872,-127499.32960936063
55778.25505452743,-131024.55790970524
53793.89732740109,-134521.1987210693
55321.90725853015,-129409.11338336271
56917.87698823982,-126918.74707842636
57495.738705677795,-128980.5426650131
53379.00545072823,-128871.69754927023
51035.40033087018,-134120.95022969935
52689.412507228786,-128141.48745992497
50687.5033145108,-128662.7561564815
56174.17380264925,-137417.36233067885
58142.20861011883,-129922.75916465007
56249.582264435594,-134957.2199245079
52787.804064724594,-131636.40102848868
55872.3773220405,-130099.87248028684
53389.77796325809,-129560.59340659168
54605.08228181419,-132857.67418983518
52021.32372164051,-127032.65323382315
53372.55524383229,-129122.20130486073
55995.08309789887,-131859.75670493708
52954.729796860134,-126101.69920198694
49817.30317342316,-123972.36278727508
52061.5552026931,-132326.3991344244
50971.16787378816,-126279.22454766097
48852.34612470004,-133501.05943665464
47716.01594600815,-133250.02860255074
47392.41019530303,-131491.04441981172
48064.842011391884,-131964.25209320724
43218.787127928925,-130618.67021897288
43329.623139016796,-131575.57951791462
45009.82182400103,-133948.17907202136
42462.730958452565,-130327.30339890871
40481.948396864,-134567.89415208742
42362.012084191316,-131987.17330101645
36431.1013090068,-131848.30281240374
39040.14490874775,-135452.18912393475
40691.36503973184,-128905.20877809076
39040.87873905385,-132844.66391348606
39837.68385718088,-140227.0299993788
36883.5281522288,-127698.81911398926
37341.42747365078,-128394.93233135108
35872.75307736627,-136091.809535096
33483.77961410547,-125595.71762017527
32652.419054597965,-134605.94558521517
31258.96514351177,-130435.58917127145
31467.928297008853,-132172.782404209
27372.75429331395,-126827.76869835965
28195.270439603948,-128029.46216304785
26062.381331495475,-129688.53557434316
30902.17371515627,-129893.66096972536
36130.62438595691,-134248.52226828557
37776.78786081425,-129515.83021156809
51698.962855102145,-131982.42889997686
48819.44804511918,-132546.3900012269
44709.64170798147,-138436.0083261927
52944.11926107912,-132472.40814841542
43180.54269605293,-133151.07072289631
44450.28072043648,-138165.94391831066
49375.67763866414,-132050.2060348376
76776.25331045152,-133970.6275646284
77900.7890527451,-138391.52823729976
90367.37716978928,-139527.09420526068
133125.34233262797,-141431.66962681588
131920.06626428338,-145424.72084787296
170179.15043233056,-145650.9964259249
173991.32044069876,-147780.7913959824
206057.84188749106,-154737.21984050443
196361.04801816144,-150451.37134488398
188154.19234412222,-150591.52159661386
203735.35767552909,-155837.10415533994
178230.97795942752,-155874.58539655633
170441.7866244656,-155754.33524179182
150550.55565345054,-151794.70434455134
154981.13786818914,-149237.64868045956
149242.64704307192,-149397.58269286848
148007.7633135931,-156393.777078236
158700.35977998096,-153962.0219975859
156225.60202826,-151901.49167061923
165634.94541604316,-148517.46770684703
151843.53396234429,-151566.46307910726
150530.40421557042,-148423.84149741093
