realized_delta_bof,scr_values
40322.36380669649,-159237.4551530882
36051.65429526847,-140920.45381809433
34676.82790972188,-153011.93923749495
37063.69362348202,-164070.3352693522
34466.81034780585,-145966.14768727648
33661.568905540626,-158295.76996019087
24060.73536456027,-146706.81376351183
25764.111311459215,-161311.09425904707
23902.601148148533,-168216.76220114226
27462.137578605558,-166812.6485242945
31690.873293884448,-161150.19345069525
39801.86183540709,-146009.21239212016
46378.04197272658,-159735.62540857028
44655.406508287764,-140530.35766562726
48855.69262606464,-155148.68083046644
48901.20053365966,-155623.76217155706
52634.56301375851,-151286.22528323438
50177.54976718861,-149890.23282417282
50841.382994151674,-151910.74773530185
53735.653397405054,-155309.21770826494
54324.42417207395,-153387.56613991922
54540.964922504965,-147981.09332634718
57907.22004924889,-149878.6233011647
55727.25646229717,-142157.17763558635
53307.742334524635,-165922.41725459066
53475.40482888266,-159651.41457842872
53068.97589918994,-155512.1475313264
53857.4183136659,-155222.98614440113
55416.13192812819,-167153.96424661868
60350.889867480146,-154583.2432898461
56971.130451406934,-158562.68195404403
56140.29176862759,-148129.15289552894
58682.69445363013,-156743.23308984563
56826.8556189806,-150259.39760017337
57475.93006293033,-152080.67201125633
59714.51523525128,-161943.94445818756
56423.70722756197,-151412.45208883064
59089.02839536872,-146667.14151889447
55778.25505452743,-158666.94132679875
53793.89732740109,-149516.83922226157
55321.90725853015,-150913.0484575011
56917.87698823982,-161436.33021934063
57495.738705677795,-142683.92747054237
53379.00545072823,-164344.8234069351
51035.40033087018,-145097.5449020256
52689.412507228786,-161516.8816137166
50687.5033145108,-154473.72591181216
56174.17380264925,-139792.94384146843
58142.20861011883,-149168.37300471938
56249.582264435594,-161568.95468173898
52787.804064724594,-158656.5680820354
55872.3773220405,-161193.0097556851
53389.77796325809,-157548.66721394612
54605.08228181419,-159013.8288708469
52021.32372164051,-150489.15841322206
53372.55524383229,-155902.49942764372
55995.08309789887,-156492.5992382469
52954.729796860134,-150871.51809238677
49817.30317342316,-155199.71339600557
52061.5552026931,-155278.33225828316
50971.16787378816,-149058.28484519292
48852.34612470004,-154255.0881996298
47716.01594600815,-148866.2471072215
47392.41019530303,-147980.73901049083
48064.842011391884,-150422.62696533464
43218.787127928925,-155017.48916488723
43329.623139016796,-163944.7557176071
45009.82182400103,-147442.77036884974
42462.730958452565,-137886.26716680964
40481.948396864,-153942.1584543906
42362.012084191316,-152904.05600357463
36431.1013090068,-153464.10858004994
39040.14490874775,-161691.7672075493
40691.36503973184,-147905.0966294877
39040.87873905385,-167162.41699997964
39837.68385718088,-151784.38669958478
36883.5281522288,-153889.01321199106
37341.42747365078,-151853.41996464587
35872.75307736627,-161034.58009376726
33483.77961410547,-147323.45391328912
32652.419054597965,-153454.04378616507
31258.96514351177,-157380.40496311418
31467.928297008853,-151447.4087538335
27372.75429331395,-161138.13440634473
28195.270439603948,-150054.2017303463
26062.381331495475,-147876.22963896394
30902.17371515627,-147282.75738172536
36130.62438595691,-162020.26268891047
37776.78786081425,-155113.55823275808
51698.962855102145,-151267.56401578744
48819.44804511918,-160348.52939833154
44709.64170798147,-154196.02954167174
52944.11926107912,-159415.74901740102
43180.54269605293,-152483.89601009735
44450.28072043648,-156651.6961213483
49375.67763866414,-138245.01547083887
76776.25331045152,-128607.8581166995
77900.7890527451,-121970.48241372977
90367.37716978928,-107288.85965596279
133125.34233262797,-97135.70261778357
131920.06626428338,-116912.6132940359
170179.15043233056,-90688.55164996232
173991.32044069876,-88587.47368043778
206057.84188749106,-87295.32207092596
196361.04801816144,-86298.73731747456
188154.19234412222,-76669.88439081621
203735.35767552909,-77142.7950634769
178230.97795942752,-85321.69289650233
170441.7866244656,-81540.68187256262
150550.55565345054,-78867.69638366695
154981.13786818914,-82952.8918168702
149242.64704307192,-83001.0904285725
148007.7633135931,-82909.56823312957
158700.35977998096,-85851.8289561331
156225.60202826,-94860.15387501207
